speakerA_name,speakerB_name,speakerA-1,speakerB-2,speakerA-3,speakerB-4,speakerA-5
Dr. Fiza,Bima,"Jadi, kehamilan di usia Dara ini risikonya sangat tinggi. Ketika di usia ini hamil, maka badannya merasakan beban dua kali lipat daripada mereka yang hamil di usia matang. Tubuh Dara belum siap. Artinya butuh lebih banyak dukungan moral.","Kira-kira saya harus apa, Dok?","Jangan biarkan dia stres. Lalu lengkapi gizi ibu dan dan bayi.
",Itu saja?,"Bukan itu saja. Kamu juga harus belajar ciri-ciri kelainan pada kehamilan. Banyak membaca, banyak bertanya. Makin banyak tahu, makin siap."
Dara,Mama Dara,"Mama... dan Papa... mau memberikan anakku
ke Tante Lia dan Om Adi.","Dara, mereka lebih siap menjadi orang tua daripada kamu.","Tapi aku juga orang tuanya, Mama!",Dara. Menjadi orang tua tak hanya sembilan bulan sepuluh hari! Tapi seumur hidup!,Benarkah? Lalu kenapa kemarin Dara ditinggal?
Ibu Bima,Bapak Bima,"Dia benar, Pak. Bayi itu cucu kita juga. Mereka tak bisa serahkan bayi itu ke orang lain tanpa bicara dengan kita. Kenapa? Apa karena kita miskin?",Bukan itu masalahnya. Ini masalah pernikahan.,Apa maksud Bapak? Lebih baik berzina daripada menikah?,"Bukan itu. Bukan soal zina, tapi waktu. Mereka masih anak-anak.",Lalu Bapak ingin bagaimana? Mereka tidak perlu menikah? Kita tidak punya apa pun. Kita hanya punya iman dan harga diri. Ibu sudah malu untuk jualan. Ibu tahu semua orang membicarakan keluarga kita. Ibu tahu. Kita sudah gagal. Gagal mendidik anak kita.
Dara,Bima,Bim. Apa aku masih bisa ke Korea?,Tentu bisa.,"Tapi, Bim... Kamu tak perlu berhenti sekolah. Seharusnya aku yang berhenti. Kamu jangan. Kamu yang lebih pintar.","Tapi aku baca di Google, tingkat kecerdasan anak diturunkan oleh ibunya.","Kalau begitu, bagus."
Dara,Bima,Bagaimana persiapan kuliah kamu?,"Ya, kuliah.",Jangan meremehkan! Kamu kira aku tak tahu kamu sering bolos?,"Aku bolos untuk bekerja. Lagi pula Mbak Dewi meski lulus S1, nilainya bagus, dia sempat menganggur.",Apalagi kamu? Apa kamu mau terus bekerja di restoran ayahku? Seumur hidup?
Mama Dara,Dara,Tadi Vini cerita ke Mama. Masih basah?,Tadi... Aku sumpal dengan tisu.,Nanti Mama belikan pad agar tak merembes. Mama dulu juga sepertimu. Kaget waktu ASI Mama merembes. Padahal ASI ibu-ibu yang lain baru keluar saat hampir melahirkan.,"Aku bingung dengan badanku. Belakangan ini aneh banget. ASI tiba-tiba keluar, kulitku aneh, terus... hari ini dia menendang. Tapi hanya sekali. Dia masih hidup, 'kan?",Masih. Dulu kamu harus dipancing musik agar mau menendang. Kita coba. Kamu tidur miring.
Dara,Bima,Aku mikir...,"Kamu tidak boleh mikir. Setiap kamu mulai dengan ""Aku mikir,"" aku tahu kamu sudah membuat keputusan. Aku salah, Ra. Aku minta maaf. Aku janji tidak akan...",Bim!,"Maaf, ya? Maafkan Baba. Ya? Baba artinya bapak, seperti papa. Kamu suka panggil ""Baba""? Suka tidak? Lihat! Dia menendang. Dia memaafkan aku. Kenapa kamu tidak?",Besok saudara Mama datang. Kita ketemu dulu. Aku pikir minimal kita ketemu dulu. Itu agar kita bisa beri yang maksimal untuk dia.
Papa Dara,Mama Dara,"Mungkin Dara mau beli sesuatu untuk kenang-kenangan?
",Untuk apa?,"Untuk anaknya! Ada yang lebih penting di sini
daripada kuliah. Daripada ke Korea.",Untukmu selalu ada yang lebih penting daripada masa depan.,Bisa kamu dengarkan orang? Sekali saja?
Bima,Ibu Bima,"Bu. Setiap saat Bima berdoa. Kalau misalnya Bima masuk neraka, Ibu jangan sampai ikut.",Kalau Ibu selalu berdoa... supaya kamu masuk surga.,"Memangnya masih bisa, Bu?",Kalau Ibu saja perlahan-lahan bisa memaafkan kamu... apalagi Allah?,"Tapi, Bu... Kalau Bima boleh minta... Ibu juga harus bisa memaafkan diri Ibu sendiri."
Bima,Dara,Kamu jadi alergi kerang atau tidak?,Kamu datang jauh-jauh cuma mau tanya soal kerang?,"Karena kalau kamu alergi kerang, anak kita juga bisa alergi. Sama kemungkinannya dengan dia sepintar kamu.",Atau selucu kamu.,"Atau sebodoh aku. Bagaimanapun dia, aku mau menerima dia apa adanya. Ya, aku tahu aku mungkin baru 17 tahun. Aku mungkin akan menjadi ayah yang tidak kuliah. Aku pasti akan menjadi ayah yang banyak salah. Aku mungkin bisa siap kehilangan kamu, Dara. Tapi aku tidak bisa kehilangan Adam."
Bima,Dara,"Aku ke sini bukan untuk minta kita selalu bersama. Tapi aku minta... kamu izinkan aku merawat bagian dari kamu yang siap aku sayangi selamanya. Tolong pikirkan, ya? Oh, ya. Ini untuk orang tua kamu. Atau Puput.",Terima kasih.,"Oh, ya. Kamu jangan makan, ya? Tadi aku baca di Internet, kerang di Jakarta mengandung merkurius.",Maksudmu merkuri?,"Ya, itu maksudnya, merkuri."
Mama Dara,Dara,"Mama harus bilang apa ke Tante Lia dan Om Adi?
","Ya sudah, batalkan saja.",Gampang sekali kamu bilang batal? Memangnya ini belanja online?,Mama juga segampang itu menyerahkan cucu Mama sendiri. ,"Apa katamu? Dara! Kamu bilang ini gampang untuk Mama? Kamu pikir hati Mama tidak hancur? Mama tidak nangis sendirian? Ini sama sekali tidak gampang untuk Mama, Dara. Dara, dengarkan Mama! Cuma karena kamu tidak lihat, bukan berarti itu tak terjadi."
Dokter Fiza,Bima,Bima. Ada komplikasi. Terjadi perdarahan dalam rahim. Harus segera dioperasi.,"Risikonya apa lagi, Dok?",Yang terburuk meninggal. Tapi kita harus mengusahakan yang terbaik untuk Dara. Opsi terakhirnya adalah... Histerektomi. Pengangkatan rahim. Ada formulir yang harus kamu tanda tangani untuk perizinan tindakan.,Harus saya yang tanda tangan?,"Kamu suaminya, 'kan?"
Gofar,Ucup,"Cup, entah bagaimana kau bisa mendapatkan ini. Keren sekali, sumpah. Tinggal harmonika Bob Dylan milikku.",Transfer dulu yang itu. Harmonika itu mudah.,"Baiklah, akan kutransfer untukmu. Lihat, Cup. Sudah.",Oke. Terima kasih.,Sama-sama.
Sarah,Piko,Kamu ada uang makan di sini? Aku sedang tidak bisa patungan.,"Tenang. Kamu duduk saja dan makan yang enak, Sar. Aku dan Ucup baru saja dapat untung.","Kalau kamu terus sibuk bergaul dengan Ucup, kapan tugas akhirmu bisa kelar? Katamu kau sudah tidak mau bayar uang kuliah lagi semester depan. Katamu kau ingin buru-buru membuat pameran pertama di galeri. Tawaran itu sudah di depan mata, 'kan?","Yang di depan mata kita ini makanan enak dan mahal, kamu yakin tidak mau dihabiskan dulu?","Kita bukan anak orang kaya yang cukup duduk-duduk santai, yang tiap bulannya mendapat kiriman uang dari orang tua. Aku harus masuk PON, tahun ini. Supaya beasiswaku lanjut, terus bisa mulai skripsi. Kamu? Yang selama ini susah payah bayar kuliah? Masa kau mau gagal di ujung seperti ini?"
Budiman,Piko,"Bagaimana keadaan ayahmu di Bandung? Setelah ini
kamu langsung kembali ke Jakarta? Apa uangmu tidak habis?","Duit bisa dicari, Pa. Nanti bisa datang lagi. Saya kangen sama Papa.","Papa cuma tidak mau menambah bebanmu, Pik. Kamu makin besar. Kebutuhan kamu makin banyak. Kalau kamu bolak-balik terus setiap minggu, seperti ini 18 tahun ke depan,
apa tidak masuk akal?","Papa sendiri yang bilang kalau Papa dijebak, 'kan? Mana sekarang teman-teman Papa? Sudah hidup enak kalau itu Papa artis setiap hari di Malta dengan duit ratusan miliar. Kalau sampai suatu hari aku bertemu teman-teman Papa itu, Om Retno, Om Budi, sampai aku bertemu mereka, sudah pasti…","Mau apa lagi setelah itu, Pik? Tidak akan ada habisnya."
Piko,Ucup,"Tahukah kau? Makin kupikirkan, makin tak ada jawaban di kepalaku. Pusing. Apa itu?","Kau tahu berapa Dini membayar kita, 'kan?",50 juta kemarin.,"Ini. Lukisan Widajat-mu kemarin, laku 900 juta di lelang. Dini mengambil untung sangat banyak dari pekerjaanmu, Pik. Enam maestro sudah berhasil kau palsukan lukisannya dan sampai kini tak ada satu pun pembeli yang tahu lukisanmu palsu. Bagaimana kalau kita bernegosiasi ulang di pekerjaan berikutnya? Minta harga yang lebih adil ke Dini. Cukup tiga lukisan. Kita bisa bantu ayahmu.",Tiga?
Piko,Ucup,"Jeihan. Sunaryo, Suharmanto.","Tak satu pun nama itu kukenal, Pik. Ayolah. Yang lebih terkenal. Siapa saja yang aku tahu.","Baiklah, Raden Saleh sekalian.",Raden Saleh? Ayo. Aku tahu itu.,"Oke. Akan kucari data-datanya sekarang.
"
Polisi Perempuan,Polisi Laki-Laki,"Lapor, Bang. Laporan kedua soal dugaan pemalsuan lukisan masuk lagi tadi sore.","Yang pertama, waktu itu punya siapa?","Affandi. Yang kedua, Widajat.",Ini sudah ditanggapi dari GalNas?,Belum. Galeri Nasional perlu mengundang peneliti langsung dari Belgia untuk memastikan lukisannya itu asli atau palsu.
Kinan,Andre,Mengajak makan siang siapa elu?,Elu. Mau enggak?,"Yah, Andre......maaf ya, gua tuh udah janjian sama Raya mau nemenin dia bikin PR.",Oke. ,"Maaf, ya.
"
Andre,Kinan,Dia gimana kabarnya?,"Raya baik-baik aja...Cuma dia lagi sering ngambek. Karena katanya gua kebanyakan praktek.
","Yah, dia juga pasti mengertilah....ibunya kan lagi mengusahakan yang terbaik buat dia.
",Amin.,"Tapi omong-omong, Nan."
Lidya,Aris,"Kamu tuh sebenarnya sayang enggak sih sama aku?
","Sayang dong.
","Yah, aku butuh bukti.",Bukti apa?,Hubungan kita itu sama aja tahu enggak sih kayak dulu. Waktu aku masih jadi orang ketiga. Terus sekarang kamu sudah bercerai......aku merasa aku masih jadi orang ketiga.
Rudy,Illona,Bagaimana kamu bisa Bahasa Indonesia?,Ceritanya panjang. Rumahku hancur oleh bom saat Nazi menyerang Warsawa. Saya masih punya bekas luka ini. Ada seorang perawat dari Ambon. Dia baik sekali,Orang ambon di Polandia?,Ya. Aku dan keluargaku tinggal berbulan-bulan di bunker bersamanya. Kami tak bisa membedakan siang dan malam. Pamanku hampir gila.,Hahaha
Naya,Rizal,"Hari ini langitnya aneh ya, gelap tapi hangat",Mungkin karena kamu yang ada di sampingku.,Gombal banget sih kamu,"Tapi beneran dari hati, Nay.",Aku percaya... karena aku juga ngerasain hal yang sama
Keyla,Farel,"Kalau kamu dikasih satu permintaan, apa yang kamu mau?",Aku mau waktu berhenti pas kita lagi bareng,Cieee... romantis abis.,"Serius lho, Key","Kalau gitu, aku juga mau minta yang sama"
Aisyah,Reyhan,"Kamu inget nggak, pertama kali kita ketemu?","Inget banget, kamu jatuhin buku ke muka aku","Duh, malu banget kalo diinget-inget",Itu momen terbaik dalam hidupku,Kamu selalu tau cara bikin aku senyum
Tiara,Niko,"Besok kita ke pantai, jadi kan?","Kalau sama kamu, selalu jadi",Bawa bekal ya? aku mau sandwich buatan kamu,"Siap, chef pribadi kamu on duty!","Hahaha, jangan lupa ekstra keju"
Salma ,Dion,"Aku takut gagal, Dion.","Gagal itu biasa, yang penting kita coba lagi",Tapi aku nggak mau kecewain kamu,"Selama kamu berusaha, aku bangga kok",Makasih ya..kamu kekuatan aku
Cinta,Radit,"Radit, kamu percaya cinta pada pandangan pertama?",Percaya. Karena aku ngalamin waktu ketemu kamu,"Ya ampun, kamu manis banget hari ini","Setiap hari aku manis, cuma kamu yang baru sadar sekarang","Hahaha, yaudah deh aku akuin"
Maya,Fikri,"Aku suka caramu lihat dunia, tau nggak?",Aku cuma berusaha lihat dunia lewat matamu,Kamu kok makin pintar gombalnya?,Karena aku latihan tiap hari buat kamu,Beruntung banget aku punya kamu
Kinan,Raya,"Kakak lagi gambar apa, sayang? Tadi gimana perginya sama Papi?",Enggak seru.,Kenapa?,Karena enggak ada mami.,Ya kan ada papi.
Raya,Kinan,Tapi kan tetap mami enggak ada,Kan setiap hari juga udah ketemu sama mami.,Enggak juga. Mami kan praktek melulu.,"Ya udah. Kakak maunya gimana.
","Kakak maunya bertiga. Papi, mami, sama Raya. Masih bisa enggak, Mami?"
Lydia,Aris,"Ini rumah siapa sih, Mas?
","Ini rumah siapa ya? Aku juga lagi mikir. Rumah siapa ini? Ini...rumah kita. Rumah aku sama kamu. Lydia. Masih yakin mau nikah sama aku enggak?


","Yah, mau dong!","Makasih. Kamu senang?
",Senang.
Raya,Kinan,Tadi papi bilang...dia mau menikah sama tante Lydia,Terus perasaan kakak gimana?,"Enggak tahu. Mami sedih?

",Mama enggak sedih. Mama bahagia.,Kenapa mama bahagia?
Lydia,Aris,Ini beneran enggak apa-apa aku ikut ke sekolahnya Raya?,"Yah, enggak apa-apa dong. Kamu kan ibunya Raya juga. Masa enggak boleh.",Aku kalau pakai baju ini enggak apa-apa? Bagus kan?,Baguslah. Kamu selalu tampak cantik. Pakai apa aja juga tetap cantik.,Bisa aja
Aris,Lydia,Wangi banget sih kamu?,"Parfum baru. Enak enggak?
",Enak banget.,Enak. Suka enggak?,Suka.
Ellen,Iwan,Emang gue salah ngomong tadi?,Bilang langganan? yaa menurut lo?,"Engga, maksudnya kalo sampai ada apa-apa, ya dia ke kita gitu","Iya, tapi ya jangan sampai ada apa-apa dong, sama aja kan.","Ke toilet dulu gue, mules gue sama Pak Handi."
Aji,Ellen,"Seneng banget, kayanya menang sidang ya? Biasalah kalo klien happy kita pasti happy juga ya...",Yup. Sidang jam berapa?,"Jam 1, tapi biasalah nunda 2 jam telat. hakimnya sibuk",Oh hehe,"Okay, gue masuk dulu ya. Bye"
Bu Sondang,Kiara,"Aduhhh, kau lagi kau lagi. Di dalam pelajaran itu janganlah kau main apa namanya itu, instajram itu",Instagram bu,Aku pun paham bahasa inggris. g itu dibacanya j. instajram,"Iyadeh instajram, terserah ibu juru",Ooh ngeledek iya?
Mama Iwan,Iwan,"Wan, mama lagi mau ngomongin soal catering","Iyaa ma, kan udah dibahas. Masakan china aja gapapa udah","Tapi China kan macam-macam wan, ada china kanton, ada china mandarin",Yang paling China ajalah oke? thankyou ma byee,Halo.. eh? wan...
Pak Aryo,Iwan,Pesta seperti ini hanya untuk pekerja yang masa baktinya itu 5 tahun ke ats,Tapi kan saya cuma kurang 3 bulan pak,5 tahun kurang 3 bulan kan cuma 4 tahun 9 bulan,"Gue yang China, dia yang perhitungan",hahaha
Pak Aryo,Ellen,Gimana? persiapanmu aman?,Amann,Rekrutmennya?,"Untuk sementara waktu, saya sama iwan handle berdua bisa lahh",Gamungkin berubah pikiran ya?
Kiara,Oma,Oma gapapa?,"Enggak, gapapa cuma capek sedikit",Yudah kita pulang aja yuk,"Engga yaampun ki, gimana lagumu?",Kok jadi lagu sih?
Oma ,Kiara,"Iya itu yang penting, gimana lagumu?",Ternyata bikin lagu itu ga segampang nyanyi ya..,"Yaalah, untung suara kamu bagus. Coba oma yang ikut audisi, apa ga lari semua para jurinya",haha oma-omaaa,bener kan?
Iwan,Ellen,Ribet ya?,Hm hooh,Pantesan lo males kawin lagi ya?,Heh bukan karna itu juga kali,Trus karna apa?
Ellen,Ngatno,Emang kamu ga bosen dirumah? ngurus kebun ajaa,Saya sudah bangga jadi kepala divisi agricultur mbak,"Agricultur itu pertanian, dirumah saya kan gaada sawah",Saya sudah kerasan kerja dirumah,Jadi kamu yakin?
Kiara,Oma,"Oma, kita liburan akhir tahun mau kemana?",Yaampun masih lama kali ki,Ke pantai yuk? pantai yah?,Kok pantai?,Tadi habis nonton moana lagi
Oma ,Ellen,Gimana kantor?,Emm yaaa we'll see ya. Oh si ngatno akhirnya mau bantuin saya di kantor,"Hahaha iya ya dia juga bilang. Tapi kasian saodah tuh kehilangan temen berantem. Eh Ellen, kamu sudah pernah liat youtubenya Kiara belum?","Ngomong-ngomong mengenai youtube, instagram dan segala macemnya itu ya. Apa ga baiknya kita batesin kiara ya? ya soalnya pengaruh buruknya jauh lebih banyak ma",Ndak apa-apa lah len
Ellen,Oma,Sorry ma,"Ellen, jangan mengambil asumsi terburuk dari segala hal. Capek tau, sekali-kali ngerti maunya Kiara apa. ajak dia ngobrol","Anaknya judes gitu, saya gimana mau ngajak ngobrol?","Begini.. kamu ya, harus berusaha untuk memahami dia. deketin dia. Anakmu itu sudah gede",Iyaaa ma
Irwan,Ellen,"El, lo kok kaya ga minat gitu sih sama kasus ini?",Lo minat banget sama kasus ini?,Ya minat lahhh gila apa lo,"Wan, gue ini buka firm sendiri biar bisa milih kasus yang seru-seru, bukannya malah ngurusin artis cere","Lo salah fokus, jangan fokus di kata cerenya. Fokus di kata artisnya. Cassandra Salim itu bintang sinetron paling top sekarang dan publikasinya bakal kaya apa, lo kebayang ga?"
Ellen,Kiara,"Eh kita liburan yuk? ke pantai gitu, ke bali atau ke lombok? kan kamu belum pernah ke lombok","Gausah ma, thankyou. Lagian kan mama sibuk","Engga kok, mama bisa atur","Udah ma, angkat aja.",Sorry ki
Irwan,Ellen,Ini beneran di Indonesia nih?,Makanya lo kalo liburan jangan ke Makau terus,"Yang penting menang. El serius nih, kalo mau pergi, pergi aja. Demi Kiara",Kok gue berat ya ninggalin kantor wan,"Ck ga percayaan banget. Ada gue, ada astrid. Kalo Kiara happy lo juga happy."
Tante Maya,Ellen,"Hallo, kamu temennya Astrid ya?",Hai iyaa..,"Saya tantenya Astrid. Kenapa? Ga mirip ya? Jadi, ibunya Astrid itu adik saya. Suaminya itu bule..makanya Astrid campur-campur gitu...Ini anak kamu? Kaya Astrid ya campur-campur gitu","Haha, iya mbak campur-campur gitu","Eeh jangan panggil mbak, panggil tante. Tua, muda, balita semua panggil saya Tante Maya"
Melky,Ellen,Bermacam-macam kan?,Bermacam-macam ikan yah....,"Memang ikan, tapi ikan disini itu beda dengan ikan di Jakarta...",Beda apanya?,"Beda logatnya, hahahaha"
Yos,Charles,"Kaka charles, kaka charles tidak suka ikan kah?","Saya trauma..pernah jatuh ke dalam akuarium, saya dicupang ikan cupang. Jadi kalo masalah ikan saya ga deh mas","Oh mungkin kaka charles mau saya masak yang lain, yang ada di kulkas...yang kaleng-kalengan begitu?","Boleh mas, adanya apa ya?",Sarden!
Tante Maya,Ellen,"Udah...biarin aja. Abe anaknya baik kok, ga akan macem-macem",Iya saya malah sebenarnya seneng liat Kiara ketawa lagi gini,"Loh, emangnya kenapa?","Omanya baru meninggal, Mama saya..",Turut berduka yaa...
Kiara,Abe,"Ngomong-ngomong, kenapa hotelnya namanya humba sunrise? kenapa ga sumba sunrise?",Humba sama Sumba itu sama arti. Tapi kami bilangnya humba,Ohh...kamu asli sini?,Iyaa... rumah keluarga saya tidak jauh dari sini. Satu jam saja jalan kaki..,Satu jam jalan kaki itu deket?
Iwan,Ellen,Gimana el?,"Ini gabisa-bisa gue download wan, emailnya apaan sih emangnya?","Ini buat Cassandra kalo dia diwawancarain infotaiment, mau lo review dulu nggak?","Ya mau.. cuma gimana dong...Ya.. pokoknya gini, gue percaya aja sama lo. Kalo ada yang urgent lo telepon atau sms ya?",Oke-oke... thankyou El.
Mama Iwan,Iwan,"Halo wan, kamu kalo ada waktu mampir ya ke rumah?","Ma, ini Ellen lagi di luar kota, aku lagi ribet. Di kantor cuma berduaan sama Astrid.","Berduaan sama Astrid?? Siapa itu Astrid? Kan kamu mau kawin, jangan macem-macem!",Ma... Astrid itu anak magang di kantor.. udah deh..,Mama cuma mau bahas tepai...
Iwan,Mama Iwan,"Tepai itu cuma masalah minum teh doang, apanya yang mau dibahas sih ma?","Ya, justru itu...teh nya mau pakai daun apa?",Ya daun teh lah masa daun ganja..,"Teh kan macem-macem..ada ulong, ada jasmine","Please deh ya, bye..."
Kiara,Yos,Mas..mas..mass,"Selamat pagi Nona, ada yang bisa saya bantu?",Mas kipas di kamar saya rusak tuh..,"Wah... itu bukan rusak Nona, ini memang sudah jam7 toh. Jadi, listrik sudah tidak ada.",Gimana..gimana?
Ellen,Kiara,"Ki, kalo kamu ga kepengen ikut mama gapapa kok...",Serius?,"Iya.. mama tuh cuma pengen kamu seneng, ya.. terserah kamu saja","Aku mau ikut Abe ke pasar, boleh?",Mmm okay...tapi ga pulang amlem-malem ya?
Yos,Charles,Tenang saja...kuda itu bukan hewan buas. Dia itu hewan ternak..santai...,"Saya trauma..pernah jatuh dari kuda. Sejak itu saya gamau lagi berhubungan sama kuda walaupun kuda poni, kuda catur, karate...",Karate..?,Kuda-kuda!,"Tapi tenang kaka charles, depan sana nanti sudah tidak ada kuda...."
Iwan,Ellen,Ya el?,"Gimana, aman?",Aman..ini panggilan sidang udah gue pegang. Besok lu balik kan?,Iyaa jadi...,Okay...Kiara gimana?
Ellen,Kiara,Terus..terus ki?,"Jadi..audisi online itu bukan berdasarkan jumlah views, tapi yang menurut juri bagus aja..",Berarti Andiennya udah liat video kamu nyanyi?,Tapi itu kan cover lagu orang..,Trus kenapa emangnya?
Aji,Ellen,"Hai Ellen, sibuk?",Ada apa ji?,"Ini di deket kantor lo ada restoran sushi baru, enak banget. Cobain yuk? sekalian ada yang mau gue obrolin sama lo","Udahlah ji, jangan sok inoncent gitu kenapa sih",Inoncent? maksud lo?
Iwan,Ellen,Gue nawar? hanya karna mentang-mentang gue China trus lo berasumsi gue jago nawar gitu?,"Wan bukannya gitu. Maksud gue, kalian sekeluarga itu kan..",Chinaa.... trus?,Pedagang wan...kalian sekeluarga itu pedagang..,"Trus? yang punya toko kan mereka, yang tawar menawar kan mereka....Lo pikir skill tawar menawar turun dari generasi ke generasi gitu?!"
Ellen,Iwan,"Wan, ini kasus perdana kita..",Iyaa...gue paham..,"Dan gue juga yakin lo paham betul seberapa pentingnya saksi ini buat kasus kita. So, wawancara atau toko kain?",Toko kain...,Good..
Aji,Saksi,"Saudara saksi, jadi benar foto ini diambil di acara ulang tahun anda?",Benar pak..,"Bisa anda jelaskan, jam berapa acara ulang tahun anda dimulai?",Jam sebelas...jam sembilan,Jadi jam sebelas atau jam sembilan?
Ellen,Iwan,"Ck, bego banget ya gue!","El, aji itu udah pengalaman banget ngurusin ginian. Sementara kita masih baru",Udahlah!,Gue rasa wajarlah kalo kita masih berat perjuangannya..,Iya! lo juga lagian mau aja terima kasus kaya gini!
Ellen,Kiara,Mama mau minta maaf ki...Kiara! i said i wanna say sorry...,"Kalau ga bener-bener tulus, mendingan gausah minta maaf!",Kiara! kiara! kiara! dengerin mama dulu..please..,Dengerin apa sih ma?! dengerin pembelaan mama? kaya mama selalu ngebelain klien-klien mama?,"Cmon ki, itu pekerjaan mama...yang biayain hidup kita ya itu"
Kiara,Ellen,Jadi kiara harus bayar? biar bisa dibelain sama mama?,Thats not fair,"Life is'nt fair ma! Satu-satunya orang yang sayang sama aku, care sama aku, malah harus pergi! Sekarang aku ga punya siapa-siapa....",Mama tu takut sama kamu ki! mama tu takut kamu gabisa sayang sama mama kaya kamu sayang sama oma. Trus mama sekarang udah gatau lagi mesti mulai darimana,Mulai aja dari ngejelasin kenapa mama jaga jarak sama aku?
Ellen,Kiara,Kamu gatau apa-apa soal papa kamu...,Karna mama yang gapernah mau cerita!,Kamu gaakan ngerti...,Emang mama udah pernah nyoba?!,Ki..please.. soal papa kamu let it go...
Ayah Sherina,Sherina,"Sherina...Kamu tahu kalau Ayah kurang suka bekerja
di tempat Ayah bekerja sekarang?
",Tahu.,Tahu kenapa?,"Karena Ayah insinyur pertanian, tetapi bekerja di pasar swalayan.",Jadi kamu tahu apa sebenarnya impian Ayah?
Sherina,Ayah Sherina,Ayah mau membuat perkebunan di mana?,"Bukan membuat, tapi mengelola perkebunan yang sudah ada. Punya seorang pengusaha yang sangat kaya di Bandung Utara.",Bandung?,"Iya, Bandung.",Bukan di Jakarta?
Sherina,Ibu Sherina,"Bu, kenapa ada anak yang bisa nakal sekali?","Oh, pasti masih memikirkan teman baru kamu itu, ya? Siapa namanya? Sadam?
","Memang nakal itu penyakit turunan, ya?","Ah tidak, memang orang tua Sadam
nakal juga?","Ya, barangkali."
